date,ticker,price
2024-01-01,AAPL,150.6052405129546
2024-01-02,AAPL,150.61381519419106
2024-01-03,AAPL,152.02283220530376
2024-01-04,AAPL,151.37636149702678
2024-01-05,AAPL,150.92450887254742
2024-01-06,AAPL,150.06021496441554
2024-01-07,AAPL,150.46419450284225
2024-01-08,AAPL,149.73950438719868
2024-01-09,AAPL,149.2345890773314
2024-01-10,AAPL,149.60948062286076
2024-01-11,AAPL,149.0186061077907
2024-01-12,AAPL,147.67634579275085
2024-01-13,AAPL,146.37869154827447
2024-01-14,AAPL,144.3573463769697
2024-01-15,AAPL,144.43011652425278
2024-01-16,AAPL,144.245365182729
2024-01-17,AAPL,144.07671132834352
2024-01-18,AAPL,144.05907524054624
2024-01-19,AAPL,145.25929883682824
2024-01-20,AAPL,145.14868220517286
